,Job Role,Company,Exp,CTC,Location
7,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
8,Lead- Data Science,Think360.ai,5-8 Yrs,Not disclosed,Mumbai
9,Data Science & Analytics,MORE RETAIL LIMITED,2-4 Yrs,Not disclosed,Bangalore/Bengaluru
10,Data Science Intern,Relinns,0-1 Yrs,Not disclosed,Mohali
11,Data Science Intern,newAmps consulting pvt. ltd.,0-1 Yrs,Not disclosed,Kolkata
12,Data Science - Intern,Mindworksglobal,0-0 Yrs,Not disclosed,Noida
13,Data Science Intern,newAmps consulting pvt. ltd.,0-3 Yrs,Not disclosed,Kolkata
14,Data Science Intern,Sankhkyiki Robotics,0-1 Yrs,Not disclosed,Mumbai
15,Content Strategist - Intern(Data Science),Testbook Edu Solutions,0-1 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
16,Data Science / Machine Learning stream project intern,Vikatan,0-1 Yrs,Not disclosed,Chennai
17,Director/ Senior Director - Data Science at Kantar,TNS - Subsidary of Kantar Group,5-10 Yrs,Not disclosed,Chennai(WFH during Covid)
18,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
19,Senior Analyst - Data Science - IIT/ NIT/ IIM/ XLRI/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
0,Fresher - Data Science Engineer,Busigence Technologies,0-2 Yrs,Not disclosed,remote
1,Senior Software Engineer - Data Science,Ignitee Digital Solutions Pvt Ltd,4-6 Yrs,Not disclosed,Noida
2,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
3,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
4,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
5,Senior Analyst ? Data Science and Artificial Intelligence,Samatrix Consulting Private Limited,6-11 Yrs,Not disclosed,Gurgaon
6,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Science Manager,Poshmark,2-4 Yrs,Not disclosed,Pune
8,PHD/Graduate in Computer/Data Science,DCG Data-Core Systems (India) Pvt. Ltd.,0-0 Yrs,Not disclosed,Kolkata
9,Data Science Trainee,Harmony Data Integration Technologies,0-1 Yrs,Not disclosed,Mohali
10,Data Science,NEEMTREE INTERNET PVT LTD,2-5 Yrs,Not disclosed,Mumbai
11,Looking For Part Time Data Science Teacher Trainer with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Navi Mumbai, Gurgaon/Gurugram, Mumbai (All Areas)"
12,Freelance Teaching Assistant - Data Science,Testbook Edu Solutions,0-3 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
13,Junior Data Science Team Member,Imurgence,0-2 Yrs,Not disclosed,Remote
14,Data Science Associate,WRS Info India Pvt. Ltd.,0-9 Yrs,Not disclosed,"Noida, Lucknow"
15,Manager - Data Science - Analytics ,TATA CAPITAL LTD,0-2 Yrs,Not disclosed,Mumbai
16,Experienced backend developer at data science firm in Tokyo,LATAM Management Recruitment ,3-8 Yrs,Not disclosed,Remote
17,Python/Data Science Developer,TRH Consultancy Services,5-10 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru"
18,Senior Solution Consultant with Analytics and Data Science | MNC,CHANGE LEADERS CONSULTING,6-11 Yrs,"15,00,000 - 30,00,000 PA.",Bangalore Rural
19,Sr . PS Consultant - Data Science,Genesys India,6-11 Yrs,Not disclosed,Chennai
0,"Senior Software Engineer - Data Science, NLP/ML (Python)",Info Edge India,2-4 Yrs,Not disclosed,Noida
1,Lead Data Science Analyst - Python/Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
2,Lead Data Science Analyst - Python/ Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
3,"MNC Hiring For "" AI/ ML Sr. consultant- Cloud +data science ""- Gurgaon",ESS CEE HR SOLUTIONS ,10-17 Yrs,"20,00,000 - 35,00,000 PA.",Gurgaon/Gurugram
4,Consultant/ Sr. Consultant Data Science,Living Stones ,5-10 Yrs,"18,00,000 - 25,00,000 PA.",Mumbai (All Areas)(Airoli)
5,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,New Delhi
6,Virtual Interviews For Data Science Developers On 22nd Jan @ GD-Hyd,GlobalData,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur)(WFH during Covid)
7,Manager - Data Science,General Mills,8-12 Yrs,Not disclosed,Mumbai
8,Eclerx is Hiring For Data science-Mumbai & Pune,eClerx,3-8 Yrs,"5,00,000 - 13,00,000 PA.","Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)(WFH during Covid)"
9,Data Science Professional,IBM,5-10 Yrs,Not disclosed,Ahmedabad
10,Data Science Professional,IBM,5-7 Yrs,Not disclosed,Ahmedabad
11,Data Engineer/data Science Consultant,Career Infosystem,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Engineer - Tableau/Power BI,Yo HR Consultancy,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Engineer/ Data Science Consultant - Business Intelligence Tools,Career Infosystem,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science QA Automation Engineer - Korn Ferry Digital,Futurestep Recruitment Services Private Limited  ,4-7 Yrs,Not disclosed,Bangalore/Bengaluru
15,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,New Delhi
16,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
17,Analyst-Data Science,Accenture,3-5 Yrs,Not disclosed,Mumbai
18,"Python Developer, Django, Data Science, Machine Learning freshers only",Excel PTP - IT Training Provider Company India,0-5 Yrs,Not disclosed,Ahmedabad
19,Data Science,Softratech Info Pvt Ltd,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data science,CHANGE LEADERS CONSULTING,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
1,data science(R),FUTURES AND CAREERS,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science Lead - Python/NLP/Flask,Megma Services,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
3,Data Science Manager - Reporting Tools,GrowValue HR Solutions Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Product Manager,Talent Connect,4-9 Yrs,Not disclosed,"Bangalore/Bengaluru, KA"
5,Manager - Data Science (Lifesciences),Spectral Consultants -Search and Recruitments Firm ,10-15 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
6,Data Science Product Manager,Talent Connect,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
7,Chief Intelligence Officer - Data Science & Analytics,TalPro,8-12 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru"
8,Data Science Tech Manager,Xoriant,5-10 Yrs,Not disclosed,Pune
9,Data Science Lead,Continuum Global,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
10,Data Science Quality Assurance,NICE,3-8 Yrs,Not disclosed,Pune
11,"Manager, Business Intelligence & Data Science",iSOCRATES,5-10 Yrs,Not disclosed,Mysore/Mysuru
12,"Data Science Manager II, Core Analytics and Science",Uber,8-13 Yrs,Not disclosed,Bangalore/Bengaluru
13,Jr Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Mohali
14,AI (Data Science) Architect,Quality Engineering  Software Technologies Pvt. Ltd.,10-15 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram
15,Data Science Manager,Infosenseglobal,8-13 Yrs,Not disclosed,"Gandhinagar, Pune"
16,Data Science,Shifastar Technologies Pvt. Ltd.,10-12 Yrs,Not disclosed,Mumbai
17,Data Science Expert,3D PLM Software Solutions Ltd.,2-4 Yrs,Not disclosed,Pune
18,Data Science,Diverse Lynx,2-6 Yrs,Not disclosed,Gurgaon
